dummy,coef,OR,OR_CI_low,OR_CI_high,p_value,variable,reference,sig
발생지점_영업소(TG),-2.0947,0.1231,0.1073,0.1412,0.0,발생지점,본선,***
발생지점_램프,-1.204,0.3,0.2724,0.3303,0.0,발생지점,본선,***
교통장애요인_정차차량,1.2386,3.4507,3.0777,3.8688,0.0,교통장애요인,장애없음,***
주사고원인_노면잡물,-2.3192,0.0984,0.0786,0.123,0.0,주사고원인,과속,***
원인차차종_화물,0.5417,1.719,1.6134,1.8314,0.0,원인차차종,승용,***
교통장애요인_정체,1.1513,3.1622,2.7246,3.67,0.0,교통장애요인,장애없음,***
운전자상태_기타,1.103,3.0133,2.549,3.5622,0.0,운전자상태,정상,***
원인차차종_승합,0.6385,1.8937,1.7158,2.0901,0.0,원인차차종,승용,***
주사고원인_단독차량화재,-3.0813,0.0459,0.0281,0.075,0.0,주사고원인,과속,***
주사고원인_안전거리미확보,0.7282,2.0714,1.8166,2.3619,0.0,주사고원인,과속,***
주사고원인_주시태만,0.4301,1.5374,1.421,1.6633,0.0,주사고원인,과속,***
주사고원인_졸음,0.4519,1.5713,1.4343,1.7214,0.0,주사고원인,과속,***
원인차차종_트레일러,0.9934,2.7005,2.1826,3.3414,0.0,원인차차종,승용,***
교통장애요인_기타,1.0247,2.7862,2.2305,3.4803,0.0,교통장애요인,장애없음,***
주사고원인_타이어파손,-0.5528,0.5753,0.4971,0.6658,0.0,주사고원인,과속,***
사고직전차량조작_차로변경,0.4865,1.6267,1.4286,1.8522,0.0,사고직전차량조작,운행차로주행,***
주사고원인_적재불량,-1.8038,0.1647,0.101,0.2686,0.0,주사고원인,과속,***
주사고원인_동물침입,-1.1167,0.3274,0.2376,0.451,0.0,주사고원인,과속,***
주사고원인_도로사정,-1.8726,0.1537,0.0892,0.2648,0.0,주사고원인,과속,***
조명시설_없음,0.2145,1.2393,1.1622,1.3215,0.0,조명시설,해당없음(주간),***
사고시도로환경_포트홀,-3.6566,0.0258,0.0086,0.0779,0.0,사고시도로환경,정상,***
날씨_눈,-0.6669,0.5133,0.4196,0.6279,0.0,날씨,맑음,***
사고직전차량조작_핸들과대조작,-0.234,0.7914,0.7354,0.8515,0.0,사고직전차량조작,운행차로주행,***
주사고원인_추월불량,0.4784,1.6136,1.3848,1.8801,0.0,주사고원인,과속,***
사고시도로환경_낙하물,-1.2153,0.2966,0.201,0.4377,0.0,사고시도로환경,정상,***
조명시설_작동,0.1781,1.1949,1.1275,1.2664,0.0,조명시설,해당없음(주간),***
원인차차종_기타,1.0297,2.8002,1.9632,3.9939,0.0,원인차차종,승용,***
연령구분_50대,0.2271,1.2549,1.1602,1.3573,0.0,연령구분,미상,***
원인차차종_특수,0.9206,2.5107,1.8054,3.4914,0.0,원인차차종,승용,***
주사고원인_차량기타,-1.1733,0.3094,0.2019,0.4741,0.0,주사고원인,과속,***
연령구분_60세이상,0.2464,1.2794,1.1619,1.4087,0.0,연령구분,미상,***
운전자상태_음주,0.3078,1.3604,1.1887,1.5569,0.0,운전자상태,정상,***
차종구분_미상,-0.44,0.644,0.5305,0.7819,0.0,차종구분,중형,***
연령구분_40대,0.1705,1.1859,1.0968,1.2823,0.0,연령구분,미상,***
발생지점_휴게소,-0.4093,0.6641,0.5497,0.8022,0.0,발생지점,본선,***
주사고원인_차량결함기타,-0.7542,0.4704,0.3281,0.6743,0.0,주사고원인,과속,***
운전자상태_피로,0.1931,1.213,1.1039,1.3329,0.0001,운전자상태,정상,***
날씨_비,-0.2669,0.7658,0.6653,0.8814,0.0002,날씨,맑음,***
주사고원인_-,-1.0264,0.3583,0.2045,0.6277,0.0003,주사고원인,과속,***
발생지점_터널,-0.1951,0.8228,0.7357,0.9201,0.0006,발생지점,본선,***
차종구분_대형,0.128,1.1366,1.0545,1.2251,0.0008,차종구분,중형,***
연령구분_20대,0.1571,1.1701,1.0652,1.2853,0.001,연령구분,미상,**
연령구분_30대,0.1345,1.144,1.053,1.2428,0.0015,연령구분,미상,**
차종구분_탑차,0.2857,1.3307,1.1121,1.5923,0.0018,차종구분,중형,**
사고시도로환경_시거장애,-0.437,0.646,0.4849,0.8605,0.0028,사고시도로환경,정상,**
사고직전차량조작_기타,0.1776,1.1944,1.0608,1.3449,0.0033,사고직전차량조작,운행차로주행,**
노면상태_습기,-0.1959,0.8221,0.721,0.9375,0.0035,노면상태,건조,**
사고시도로환경_기타,-0.3649,0.6943,0.5255,0.9172,0.0102,사고시도로환경,정상,*
차종구분_SUV형,0.1033,1.1088,1.0195,1.2059,0.0159,차종구분,중형,*
차종구분_경형,0.152,1.1642,1.0228,1.3252,0.0214,차종구분,중형,*
절성토구분_미상,-0.121,0.886,0.7896,0.9942,0.0394,절성토구분,평지,*
절성토구분_성토고 2M 이상 5M 미만,-0.0762,0.9266,0.8573,1.0016,0.0548,절성토구분,평지,
차종구분_일반화물,-0.1278,0.8801,0.7699,1.006,0.0611,차종구분,중형,
발생지점_기타,-0.5699,0.5656,0.3034,1.0543,0.0729,발생지점,본선,
날씨_기타,0.265,1.3034,0.9632,1.7637,0.0859,날씨,맑음,
절성토구분_절토부 10M 이상,0.0874,1.0914,0.9856,1.2085,0.0927,절성토구분,평지,
절성토구분_절토부 10M 미만,0.0638,1.0659,0.9734,1.1673,0.1682,절성토구분,평지,
절성토구분_성토고 2M 미만,-0.0527,0.9487,0.8497,1.0592,0.3487,절성토구분,평지,
평면선형_우커브,0.0314,1.0319,0.9589,1.1104,0.4016,평면선형,직선,
평면선형_미상,-0.0606,0.9412,0.8105,1.0929,0.4265,평면선형,직선,
절성토구분_성토고 15M 이상,-0.0304,0.9701,0.8993,1.0464,0.4317,절성토구분,평지,
조명시설_미작동,0.0488,1.05,0.9192,1.1994,0.4724,조명시설,해당없음(주간),
연령구분_20세미만,-0.0428,0.9581,0.8449,1.0864,0.5042,연령구분,미상,
노면상태_적설,-0.1193,0.8876,0.5997,1.3138,0.5511,노면상태,건조,
차종구분_기타,0.1244,1.1325,0.7276,1.7629,0.5815,차종구분,중형,
차종구분_소형,-0.018,0.9822,0.9211,1.0473,0.5829,차종구분,중형,
평면선형_좌커브,0.0198,1.02,0.9488,1.0966,0.5914,평면선형,직선,
날씨_흐림,0.0152,1.0153,0.9464,1.0892,0.6718,날씨,맑음,
사고시도로환경_미끄러운노면,0.0117,1.0117,0.9131,1.121,0.8236,사고시도로환경,정상,
주사고원인_기타,0.0091,1.0091,0.92,1.107,0.847,주사고원인,과속,
노면상태_기타,0.0647,1.0668,0.5389,2.1119,0.8528,노면상태,건조,
